2025-01-18 20:48:00,381 - INFO - Parsed 285335 classes from D:\git\mission_checker\data\ConfigExtract_pcanext.ini
2025-01-18 20:48:00,390 - INFO - 
INIDB Config Analysis:
2025-01-18 20:48:00,391 - INFO - Found 92 base class definitions
2025-01-18 20:49:44,100 - ERROR - Error parsing INIDBI data: ClassName,Source,Category,Parent,InheritsFrom,IsSimpleObject,NumProperties,Scope,Model - 'Source'
2025-01-18 20:49:44,110 - ERROR - Error parsing INIDBI data: Niarms_M1903,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,110 - ERROR - Error parsing INIDBI data: ACRE2,@acre2,CfgMods,CfgMods,,false,6,0, - 'Source'
2025-01-18 20:49:44,110 - ERROR - Error parsing INIDBI data: NIArms_Bren,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,111 - ERROR - Error parsing INIDBI data: Niarms_C96,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,111 - ERROR - Error parsing INIDBI data: NIArms_HK416,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,111 - ERROR - Error parsing INIDBI data: Niarms_Johnson,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,111 - ERROR - Error parsing INIDBI data: Niarms_SCAR,@niarsenal,CfgMods,CfgMods,,false,10,0, - 'Source'
2025-01-18 20:49:44,111 - ERROR - Error parsing INIDBI data: Niarms_SG550,@niarsenal,CfgMods,CfgMods,Mod_Base,false,10,0, - 'Source'
2025-01-18 20:49:44,111 - ERROR - Error parsing INIDBI data: Niarms_XM8,@niarsenal,CfgMods,CfgMods,,false,10,0, - 'Source'
2025-01-18 20:49:44,112 - ERROR - Error parsing INIDBI data: RHS_GREF,@rhsgref,CfgMods,CfgMods,Mod_Base,false,15,0, - 'Source'
2025-01-18 20:49:44,112 - ERROR - Error parsing INIDBI data: RHSGREF,A3,CfgMods,CfgMods,RHS_GREF,false,0,0, - 'Source'
2025-01-18 20:49:44,112 - ERROR - Error parsing INIDBI data: RHSGREFDEV,@rhsgref,CfgMods,CfgMods,RHS_GREF,false,8,0, - 'Source'
2025-01-18 20:49:44,112 - ERROR - Error parsing INIDBI data: RHS_SAF,@rhssaf,CfgMods,CfgMods,Mod_Base,false,15,0, - 'Source'
2025-01-18 20:49:44,112 - ERROR - Error parsing INIDBI data: RHSSAF,A3,CfgMods,CfgMods,RHS_SAF,false,0,0, - 'Source'
2025-01-18 20:49:44,112 - ERROR - Error parsing INIDBI data: RHSSAFDEV,@rhssaf,CfgMods,CfgMods,RHS_SAF,false,8,0, - 'Source'
2025-01-18 20:49:44,113 - ERROR - Error parsing INIDBI data: Atlas,@aegis_atlas,CfgMods,CfgMods,Mod_Base,false,18,0, - 'Source'
2025-01-18 20:49:44,113 - ERROR - Error parsing INIDBI data: Opfor,@aegis_atlas_opposing_forces,CfgMods,CfgMods,Mod_Base,false,18,0, - 'Source'
2025-01-18 20:49:44,113 - ERROR - Error parsing INIDBI data: Revolucion,@aegis_revolucion,CfgMods,CfgMods,Mod_Base,false,18,0, - 'Source'
2025-01-18 20:49:44,113 - ERROR - Error parsing INIDBI data: CUP_Weapons,@cup_weapons,CfgMods,CfgMods,Mod_Base,false,12,0, - 'Source'
2025-01-18 20:49:44,113 - ERROR - Error parsing INIDBI data: CUP_Units,@cup_units,CfgMods,CfgMods,,false,12,0, - 'Source'
2025-01-18 20:49:44,113 - ERROR - Error parsing INIDBI data: Multiplayer,curator,CfgMods,Curator,,false,4,0, - 'Source'
2025-01-18 20:49:44,114 - ERROR - Error parsing INIDBI data: Features,curator,CfgMods,Curator,,false,1,0, - 'Source'
2025-01-18 20:49:44,114 - ERROR - Error parsing INIDBI data: Assets,kart,CfgMods,Kart,,false,5,0, - 'Source'
